"","regionName","cereals","spices","oils","pulses","sugar","vegetables","tubers","dairy","meat","fruits","eggs","fish","dietary diversity","dd"
"1","Oromia",0.0153853581264133,0.00354984830844318,0.0929110785213711,0.150388394756286,0.0753871353245416,-0.0645511245326109,-0.0314347166558449,0.0991711539753263,-0.0166521365559859,0.0195635229384502,0.042717126032734,-0.00109710498623021,6.23443708609271,6.21796565389696
"2","Gambella",0.00856208548268234,0.0223770265291083,-0.0320099484156227,-0.146561809137804,0.0126911385408991,-0.141536938098747,-0.0944408621960207,-0.0302183124539425,0.200716193809875,0.200495117907148,0.0625092114959469,0.313485630066323,6.20869565217391,6.20869565217391
"3","Benshagul Gumuz",0.0179533898305084,0.0404639830508474,0.0333813559322034,0.205786016949153,0.0902563559322034,-0.240667372881356,-0.0342669491525424,-0.212131355932203,0.190629237288136,0.183103813559322,0.0138135593220339,0.0310508474576271,6.152,6.152
"4","Somalie",0.0218717571774472,-0.00459724143894846,0.124156866136285,-0.393234391214113,0.396542070217918,-0.141891862677274,-0.0585934797647873,0.534644154271878,-0.0621054565894154,-0.147508431338637,-0.0645537876167416,-0.0128675198893117,6.02448979591837,6.02448979591837
"5","Harari",0.0259533898305084,-0.00986935028248592,0.0520480225988701,-0.525547316384181,0.32392302259887,-0.0806673728813559,0.157733050847458,0.362535310734463,-0.150370762711864,0.0247704802259887,0.00381355932203389,-0.0169491525423729,6,6
"6","SNNP",-0.0457679216449014,-0.00583929563767716,-0.0851104473464851,0.0217204431786607,-0.294382988330092,0.203758856626841,0.280069116421228,-0.0506477493748264,-0.0409445332036677,0.160152993887191,-0.0119651292025563,-0.014899972214504,5.98556701030928,5.94877049180328
"7","Tigray",0.0207987506552507,-0.0108143674646165,0.0230102219115849,0.0227344705574,0.180709964179626,-0.0347910842215621,-0.233504062554604,-0.179904551808492,0.168959134195352,-0.108648763760266,0.119277476847807,-0.014371832954744,5.80103359173127,5.7860824742268
"8","Diredawa",0.017478813559322,0.0315148305084746,0.0921610169491526,-0.455773305084746,0.194120762711864,-0.0738877118644067,-0.145656779661017,0.384004237288136,-0.123675847457627,-0.0813029661016949,-0.0529661016949153,-0.00847457627118644,5.61016949152542,5.61016949152542
"9","Amhara",0.0234812019442291,0.0126172586997968,-0.0593652448094529,0.122928167752614,-0.0579166972198362,-0.00600729871571931,-0.130771275481343,-0.211300700802414,-0.00781822871928098,-0.142730549852297,-0.0559515828287696,-0.0132408707129538,5.30655129789864,5.30655129789864
"10","Afar",-0.0634775044784347,-0.0978774803637867,0.0309098112167563,-0.317010731018327,0.287134404712691,-0.261155177759405,-0.206494591428965,0.205624741628772,-0.0465089740939782,-0.135595373432548,-0.073015708970649,-0.0169491525423729,5.18032786885246,5.13821138211382
