Rowid_,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST
,0,0,38,0.000000000000000
,0,1,38,0.000000000000000
,0,2,38,0.000000000000000
,0,3,38,0.000000000000000
,0,4,38,0.000000000000000
,0,5,38,0.000000000000000
,0,6,38,0.000000000000000
,0,7,38,0.000000000000000
,0,8,38,0.000000000000000
,0,9,38,0.000000000000000
,0,10,38,0.000000000000000
,0,11,38,0.000000000000000
,0,12,38,0.000000000000000
,0,13,38,0.000000000000000
,0,14,38,0.000000000000000
,0,15,38,0.000000000000000
,0,16,38,0.000000000000000
,0,17,38,0.000000000000000
,0,18,38,0.000000000000000
,0,19,38,0.000000000000000
,0,20,38,0.000000000000000
,0,21,38,0.000000000000000
,0,22,38,0.000000000000000
,0,23,38,"17,623.902174556257000"
,0,24,38,"17,623.902174556257000"
,0,25,38,"17,623.902174556257000"
,0,26,38,"17,623.902174556257000"
,0,27,38,"17,623.902174556257000"
,0,28,38,"17,623.902174556257000"
,0,29,38,"17,623.902174556257000"
,0,30,38,"17,623.902174556257000"
,0,31,38,"17,623.902174556257000"
,0,32,38,"17,623.902174556257000"
,0,33,38,"17,623.902174556257000"
,0,34,38,"17,623.902174556257000"
,0,35,38,"17,623.902174556257000"
,0,36,38,"17,623.902174556257000"
,0,37,38,"17,623.902174556257000"
,0,38,38,"17,623.902174556257000"
,0,39,38,"17,623.902174556257000"
,0,40,38,"17,623.902174556257000"
,0,41,38,"17,623.902174556257000"
,0,42,38,"17,623.902174556257000"
,0,43,38,"17,623.902174556257000"
,0,44,38,"17,623.902174556257000"
,0,45,38,"17,623.902174556257000"
,0,46,38,"17,623.902174556257000"
,0,47,38,"51,621.346271804599000"
,0,48,38,"51,621.346271804599000"
,0,49,38,"51,621.346271804599000"
,0,50,38,"7,134.392079846755200"
,0,51,38,"51,621.346271804599000"
,0,52,38,"15,034.633807366266000"
,0,53,38,"51,621.346271804599000"
,0,54,38,"51,621.346271804599000"
,0,55,38,"51,621.346271804599000"
,0,56,38,"51,621.346271804599000"
,0,57,38,"51,621.346271804599000"
,0,58,38,"51,621.346271804599000"
,0,59,38,"51,621.346271804599000"
,0,60,38,"51,621.346271804599000"
,0,61,38,"51,621.346271804599000"
,0,62,38,"51,621.346271804599000"
,0,63,38,"51,621.346271804599000"
,0,64,38,"51,621.346271804599000"
,0,65,38,"51,621.346271804599000"
,0,66,38,"51,621.346271804599000"
,0,67,38,"51,621.346271804599000"
,0,68,38,"51,621.346271804599000"
,0,69,38,"51,621.346271804599000"
,0,70,38,"51,621.346271804599000"
,0,71,38,"70,797.830203106758000"
,0,72,38,"70,797.830203106758000"
,0,73,38,"70,797.830203106758000"
,0,74,38,"70,797.830203106758000"
,0,75,38,"70,797.830203106758000"
,0,76,38,"70,797.830203106758000"
,0,77,38,"70,797.830203106758000"
,0,78,38,"70,797.830203106758000"
,0,79,38,"70,797.830203106758000"
,0,80,38,"70,797.830203106758000"
,0,81,38,"70,797.830203106758000"
,0,82,38,"70,797.830203106758000"
,0,83,38,"70,797.830203106758000"
,0,84,38,"70,797.830203106758000"
,0,85,38,"70,797.830203106758000"
,0,86,38,"70,797.830203106758000"
,0,87,38,"70,797.830203106758000"
,0,88,38,"70,797.830203106758000"
,0,89,38,"70,797.830203106758000"
,0,90,38,"70,797.830203106758000"
,0,91,38,"70,797.830203106758000"
,0,92,38,"70,797.830203106758000"
,0,93,38,"70,797.830203106758000"
,0,94,38,"70,797.830203106758000"
,0,95,38,"15,684.258684080351000"
,0,96,38,"15,684.258684080351000"
,0,97,38,"15,684.258684080351000"
,0,98,38,"15,684.258684080351000"
,0,99,38,"15,684.258684080351000"
,0,100,38,"15,684.258684080351000"
,0,101,38,"15,684.258684080351000"
,0,102,38,"15,684.258684080351000"
,0,103,38,"15,684.258684080351000"
,0,104,38,"15,684.258684080351000"
,0,105,38,"15,684.258684080351000"
,0,106,38,"15,684.258684080351000"
,0,107,38,"15,684.258684080351000"
,0,108,38,"15,684.258684080351000"
,0,109,38,"15,684.258684080351000"
,0,110,38,"15,684.258684080351000"
,0,111,38,"15,684.258684080351000"
,0,112,38,"15,684.258684080351000"
,0,113,38,"15,684.258684080351000"
,0,114,38,"15,684.258684080351000"
,0,115,38,"15,684.258684080351000"
,0,116,38,"15,684.258684080351000"
