household_id2	ea_id2	rural	region	zone	woreda	town	subcity	kebele	EA	hid	pw2	rptShock	deathShk	deathShkSev	deathShkany	illShk	illShkSev	illShkany	occupShk	occupShkSev	occupShkany	droughtShk	droughtShkSev	droughtShkany	floodShk	floodShkSev	floodShkany	landsldShk	landsldShkSev	landsldShkany	h20logShk	h20logShkSev	h20logShkany	cropShk	cropShkSev	cropShkany	prFallShk	prFallShkSev	prFallShkany	prRiseShk	prRiseShkSev	prRiseShkany	inpRiseShk	inpRiseShkSev	inpRiseShkany	livestockShk	livestockShkSev	livestockShkany	fireShk	fireShkSev	fireShkany	crime2Shk	crime2ShkSev	crime2Shkany	involLossShk	involLossShkSev	involLossShkany	displcdShk	displcdShkSev	displcdShkany	unrestShk	unrestShkSev	unrestShkany	ag	conflict	disaster	financial	health	other	priceup	pricedown	assetShk	crimeShk	employShk	hazardShk	healthShk	priceShk	goodcope	badcope	othcope	income_prShk	income_dryShk	income_illShk	assets_prShk	assets_dryShk	assets_illShk	foodprod_prShk	foodprod_dryShk	foodprod_illShk	foodstock_prShk	foodstock_dryShk	foodstock_illShk	foodpurch_prShk	foodpurch_dryShk	foodpurch_illShk	prShkwf	dryShkwf	illShkwf	totShocks	totalShocks	totShock2	household_id	ea_id	coord_desc	dist_road	dist_popcenter	dist_market	dist_borderpost	dist_admctr	pop_density	af_bio_1	af_bio_8	af_bio_12	af_bio_13	af_bio_16	fsrad3_agpct	fsrad3_lcmaj	ssa_aez09	srtm	twi	srtm_5_15	sq1	sq2	sq3	sq4	sq5	sq6	sq7	anntot_avg	wetQ_avg	wetQ_avgstart	h2013_tot	h2013_wetQ	h2013_wetQstart	eviarea_avg	evimax_avg	grn_avg	sen_avg	h2013_eviarea	h2013_evimax	h2013_grn	h2013_sen	lat_dd_mod	lon_dd_mod	geo_merge	saq01	hhwgt_merge	geoGroup	othershock
1.01011E+16	1.01011E+13	Rural	Tigray	1	1	8	88	16	1	146	2801.4819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No Shocks	0	1.0101E+12	1010101601	Valid coordinates	45.9	49.1	99.9	135.1	194.5	0-50	262	256	721	226	543	83	Rainfed Croplands	Tropic-warm/semiarid	1151	12	Mid-altitude Plateaus	No or Slight Constraint	No or Slight Constraint	No or Slight Constraint	No or Slight Constraint	No or Slight Constraint	No or Slight Constraint	No or Slight Constraint	952	739	18	1463	758	24	47	0.4355	178	257	45	0.4397	185	260	14.35381619	37.89087631	matched (3)	1	matched (3)	477	0
1.01021E+16	1.01021E+13	Rural	Tigray	1	2	8	88	14	3	1	2920.0745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No Shocks	0	1.0102E+12	1010201403	Valid coordinates	18.7	19	90.6	167.4	161.9	50-100	221	213	860	278	655	84	Rainfed Croplands	Tropic-cool/semiarid	1726	11	Mid-altitude Mountains	No or Slight Constraint	No or Slight Constraint	Moderate Constraint	No or Slight Constraint	No or Slight Constraint	No or Slight Constraint	Moderate Constraint	908	697	18	1520	761	24	47	0.4355	178	257	45	0.4397	185	260	14.28858967	38.21025192	matched (3)	1	matched (3)	473	0
1.01021E+16	1.01021E+13	Rural	Tigray	1	2	8	88	14	3	11	2920.0745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No Shocks	0	1.0102E+12	1010201403	Valid coordinates	18.8	19.1	91.2	168	161.6	50-100	217	210	865	280	658	62	Mosaic cropland(50-70%)/vegetation(20-50%)	Tropic-cool/semiarid	1778	12	Mid-altitude Mountains	No or Slight Constraint	No or Slight Constraint	Moderate Constraint	No or Slight Constraint	No or Slight Constraint	No or Slight Constraint	Moderate Constraint	905	695	18	1517	760	24	47	0.4355	178	257	45	0.4397	185	260	14.28858967	38.21025192	matched (3)	1	matched (3)	473	0
1.01021E+16	1.01021E+13	Rural	Tigray	1	2	8	88	14	3	16	2920.0745	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	One	1	1.0102E+12	1010201403	Valid coordinates	19.4	19.7	91.8	167.8	162.1	50-100	217	210	865	280	658	45	Mosaic Vegetation(50-70%)/cropland(20-50%)	Tropic-cool/semiarid	1813	13	High-altitude Plains	No or Slight Constraint	No or Slight Constraint	Moderate Constraint	No or Slight Constraint	No or Slight Constraint	No or Slight Constraint	Moderate Constraint	903	693	18	1514	760	24	47	0.4355	178	257	45	0.4397	185	260	14.28858967	38.21025192	matched (3)	1	matched (3)	473	1
1.01021E+16	1.01021E+13	Rural	Tigray	1	2	8	88	14	3	26	2920.0745	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	4	1	One	1	1.0102E+12	1010201403	Valid coordinates	18.6	18.9	91.2	168.4	161.3	50-100	216	208	865	281	659	55	Mosaic cropland(50-70%)/vegetation(20-50%)	Tropic-cool/semiarid	1812	12	Mid-altitude Mountains	No or Slight Constraint	No or Slight Constraint	Moderate Constraint	No or Slight Constraint	No or Slight Constraint	No or Slight Constraint	Moderate Constraint	904	694	18	1517	760	24	47	0.4355	178	257	45	0.4397	185	260	14.28858967	38.21025192	matched (3)	1	matched (3)	473	0
1.01021E+16	1.01021E+13	Rural	Tigray	1	2	8	88	14	3	31	2920.0745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No Shocks	0	1.0102E+12	1010201403	Valid coordinates	19.7	20	92.3	168.1	162	50-100	216	208	863	280	658	41	Mosaic Vegetation(50-70%)/cropland(20-50%)	Tropic-cool/semiarid	1822	13	High-altitude Plains	No or Slight Constraint	No or Slight Constraint	Moderate Constraint	No or Slight Constraint	No or Slight Constraint	No or Slight Constraint	Moderate Constraint	900	691	18	1511	759	24	47	0.4355	178	257	45	0.4397	185	260	14.28858967	38.21025192	matched (3)	1	matched (3)	473	0
1.01021E+16	1.01021E+13	Rural	Tigray	1	2	8	88	14	3	36	2920.0745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No Shocks	0	1.0102E+12	1010201403	Valid coordinates	17	17.4	90.1	169.2	159.9	50-100	221	213	858	277	652	67	Rainfed Croplands	Tropic-cool/semiarid	1801	11	Mid-altitude Mountains	No or Slight Constraint	No or Slight Constraint	Moderate Constraint	No or Slight Constraint	No or Slight Constraint	No or Slight Constraint	Moderate Constraint	908	697	18	1523	760	24	47	0.4355	178	257	45	0.4397	185	260	14.28858967	38.21025192	matched (3)	1	matched (3)	473	0
1.01021E+16	1.01021E+13	Rural	Tigray	1	2	8	88	14	3	46	2920.0745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No Shocks	0	1.0102E+12	1010201403	Valid coordinates	17.8	18.2	91.4	169.8	160	50-100	213	205	867	283	661	54	Mosaic Vegetation(50-70%)/cropland(20-50%)	Tropic-cool/semiarid	1848	14	Mid-altitude Plateaus	No or Slight Constraint	No or Slight Constraint	Moderate Constraint	No or Slight Constraint	No or Slight Constraint	No or Slight Constraint	Moderate Constraint	901	691	18	1516	759	24	47	0.4355	178	257	45	0.4397	185	260	14.28858967	38.21025192	matched (3)	1	matched (3)	473	0
1.01021E+16	1.01021E+13	Rural	Tigray	1	2	8	88	14	3	61	2920.0745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No Shocks	0	1.0102E+12	1010201403	Valid coordinates	17.2	17.5	90.5	169.6	159.7	50-100	213	205	868	283	662	71	Rainfed Croplands	Tropic-cool/semiarid	1836	12	Mid-altitude Mountains	No or Slight Constraint	No or Slight Constraint	Moderate Constraint	No or Slight Constraint	No or Slight Constraint	No or Slight Constraint	Moderate Constraint	906	695	18	1521	760	24	47	0.4355	178	257	45	0.4397	185	260	14.28858967	38.21025192	matched (3)	1	matched (3)	473	0
1.01021E+16	1.01021E+13	Rural	Tigray	1	2	8	88	14	3	91	2920.0745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No Shocks	0	1.0102E+12	1010201403	Valid coordinates	17.2	17.5	90.4	169.4	159.9	50-100	213	205	868	283	662	71	Rainfed Croplands	Tropic-cool/semiarid	1829	11	Mid-altitude Mountains	No or Slight Constraint	No or Slight Constraint	Moderate Constraint	No or Slight Constraint	No or Slight Constraint	No or Slight Constraint	Moderate Constraint	906	695	18	1521	760	24	47	0.4355	178	257	45	0.4397	185	260	14.28858967	38.21025192	matched (3)	1	matched (3)	473	0
