"","indivID2012","ageY","ageM","sex","relHH","relig","married","regionBorn","bioDadinHH","bioDadEduc","bioDadJob","bioMominHH","bioMomEduc","bioMomJob"
"558","0102040170214902",17,NA,2,3,1,1,1,2,98,8,1,98,8
"559","0102040170214903",13,NA,1,3,1,1,1,2,98,14,1,98,8
"560","0102060130100201",55,NA,2,1,1,6,1,NA,NA,NA,NA,NA,NA
"561","0102060130101801",75,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"562","0102060130101802",70,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"563","0102060130101803",13,NA,2,4,1,1,1,2,98,1,2,98,1
"564","0102060130103301",61,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"565","0102060130103302",50,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"566","0102060130103303",9,NA,1,4,NA,NA,1,2,98,4,2,98,1
"567","0102060130103304",12,NA,2,3,1,1,1,1,98,1,1,98,1
"568","0102060130103305",18,NA,2,3,1,1,1,NA,NA,NA,NA,NA,NA
"569","0102060130105001",50,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"570","0102060130105002",40,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"571","0102060130105003",20,NA,1,3,1,1,1,NA,NA,NA,NA,NA,NA
"572","0102060130105004",18,NA,1,3,1,1,1,NA,NA,NA,NA,NA,NA
"573","0102060130105005",16,NA,2,3,1,1,1,1,1,1,1,98,1
"574","0102060130105006",12,NA,2,3,1,1,1,1,1,1,1,98,1
"575","0102060130105007",5,NA,1,3,NA,NA,1,1,1,1,1,98,1
"576","0102060130105008",NA,17,2,3,NA,NA,1,1,1,1,1,98,1
"577","0102060130106601",53,NA,2,1,1,6,1,NA,NA,NA,NA,NA,NA
"578","0102060130106602",18,NA,2,3,1,1,1,NA,NA,NA,NA,NA,NA
"579","0102060130106603",15,NA,2,3,1,1,1,2,98,1,1,98,1
"580","0102060130108101",45,NA,1,1,4,2,1,NA,NA,NA,NA,NA,NA
"581","0102060130108102",35,NA,2,2,4,2,1,NA,NA,NA,NA,NA,NA
"582","0102060130108103",24,NA,1,3,4,NA,1,NA,NA,NA,NA,NA,NA
